date,ru,ly,recdates
1949-03,4.7,751.874,1
1949-06,5.9,751.508,1
1949-09,6.7,752.623,1
1949-12,7.0,751.68,1
1950-03,6.4,755.643,0
1950-06,5.6,758.641,0
1950-09,4.6,762.479,0
1950-12,4.2,764.223,0
1951-03,3.5,765.479,0
1951-06,3.1,767.124,0
1951-09,3.2,769.097,0
1951-12,3.4,769.267,0
1952-03,3.1,770.268,0
1952-06,3.0,770.378,0
1952-09,3.2,771.046,0
1952-12,2.8,774.296,0
1953-03,2.7,776.149,0
1953-06,2.6,776.903,1
1953-09,2.7,776.293,1
1953-12,3.7,774.698,1
1954-03,5.3,774.219,1
1954-06,5.8,774.345,1
1954-09,6.0,775.466,0
1954-12,5.3,777.449,0
1955-03,4.7,780.289,0
1955-06,4.4,781.929,0
1955-09,4.1,783.257,0
1955-12,4.2,783.814,0
1956-03,4.0,783.356,0
1956-06,4.2,784.14,0
1956-09,4.1,784.014,0
1956-12,4.1,785.635,0
1957-03,3.9,786.247,0
1957-06,4.1,786.006,0
1957-09,4.2,786.965,1
1957-12,4.9,785.907,1
1958-03,6.3,783.162,1
1958-06,7.4,783.774,1
1958-09,7.3,786.091,0
1958-12,6.4,788.395,0
1959-03,5.8,790.398,0
1959-06,5.1,792.892,0
1959-09,5.3,792.773,0
1959-12,5.6,793.122,0
1960-03,5.1,795.341,0
1960-06,5.2,794.873,1
1960-09,5.5,795.036,1
1960-12,6.3,793.745,1
1961-03,6.8,794.338,1
1961-06,7.0,796.191,0
1961-09,6.8,797.794,0
1961-12,6.2,799.81,0
1962-03,5.6,801.587,0
1962-06,5.5,802.685,0
1962-09,5.6,803.606,0
1962-12,5.5,803.849,0
1963-03,5.8,805.147,0
1963-06,5.7,806.392,0
1963-09,5.5,808.258,0
1963-12,5.6,809.015,0
1964-03,5.5,811.235,0
1964-06,5.2,812.377,0
1964-09,5.0,813.726,0
1964-12,5.0,814.003,0
1965-03,4.9,816.43,0
1965-06,4.7,817.777,0
1965-09,4.4,819.786,0
1965-12,4.1,822.17,0
1966-03,3.9,824.595,0
1966-06,3.8,824.928,0
1966-09,3.8,825.583,0
1966-12,3.7,826.39,0
1967-03,3.8,827.267,0
1967-06,3.8,827.288,0
1967-09,3.8,828.083,0
1967-12,3.9,828.843,0
1968-03,3.7,830.883,0
1968-06,3.6,832.566,0
1968-09,3.5,833.248,0
1968-12,3.4,833.68,0
1969-03,3.4,835.243,0
1969-06,3.4,835.534,0
1969-09,3.6,836.164,0
1969-12,3.6,835.694,1
1970-03,4.2,835.537,1
1970-06,4.8,835.718,1
1970-09,5.2,836.604,1
1970-12,5.8,835.538,1
